fid,start_BusName,end_BusName,start_lat,start_lon,end_lat,end_lon,voltage,polarity,start_option,end_option,rid
1,6ALPHA GA_361502,6BATTLFLD GA_361530,34.813027,-84.853226,34.9555953,-85.26465286,230,ac,default,default,6ALPHA_GA_361502-6BATTLFLD_GA_361530
2,6ALPHA GA_361502,6CENTER PNT_360533,34.813027,-84.853226,34.6665318,-84.97089121,230,ac,default,default,6ALPHA_GA_361502-6CENTER_PNT_360533
3,6ALPHA GA_361502,6CLOUDLANDGA_361633,34.813027,-84.853226,34.81849122,-85.5353055,230,ac,default,default,6ALPHA_GA_361502-6CLOUDLANDGA_361633
4,6ALPHA GA_361502,6CONCORD TN_361509,34.813027,-84.853226,34.99679719,-85.1610968,230,ac,default,default,6ALPHA_GA_361502-6CONCORD_TN_361509
5,6ALPHA GA_361502,6COUNTY LINE_360013,34.813027,-84.853226,34.74311084,-85.00751569,230,ac,default,default,6ALPHA_GA_361502-6COUNTY_LINE_360013
6,6ALPHA GA_361502,6KENSNGTN GA_361503,34.813027,-84.853226,34.81265905,-85.32344844,230,ac,default,default,6ALPHA_GA_361502-6KENSNGTN_GA_361503
7,6ALPHA GA_361502,6LOOPERS FRM_360602,34.813027,-84.853226,34.708916,-84.922795,230,ac,default,default,6ALPHA_GA_361502-6LOOPERS_FRM_360602
8,6ALPHA GA_361502,6ROCK SPG GA_361500,34.813027,-84.853226,34.83897801,-85.28020801,230,ac,default,default,6ALPHA_GA_361502-6ROCK_SPG_GA_361500
9,6ALPHA GA_361502,6S HAVEN CC_360594,34.813027,-84.853226,34.99627529,-90.0485284,230,ac,default,default,6ALPHA_GA_361502-6S_HAVEN_CC_360594
10,6ALPHA GA_361502,6WID CRK FP_360068,34.813027,-84.853226,34.88515896,-85.75604163,230,ac,default,default,6ALPHA_GA_361502-6WID_CRK_FP_360068
11,6ALPHA GA_361502,6WRINGOLD GA_361504,34.813027,-84.853226,34.89324284,-85.13750475,230,ac,default,default,6ALPHA_GA_361502-6WRINGOLD_GA_361504
12,6ALPHA GA_361502,6YOUNG GA_361454,34.813027,-84.853226,34.75072952,-85.27349349,230,ac,default,default,6ALPHA_GA_361502-6YOUNG_GA_361454
13,6ALPHA GA_361502,7SHAWNEE FP_360002,34.813027,-84.853226,37.150267,-88.778122,345,ac,default,default,6ALPHA_GA_361502-7SHAWNEE_FP_360002
14,6ALPHA GA_361502,8ACKERMAN CC_360627,34.813027,-84.853226,33.38593855,-89.20997726,500,ac,default,default,6ALPHA_GA_361502-8ACKERMAN_CC_360627
15,6ALPHA GA_361502,8ANDERSON TN_360120,34.813027,-84.853226,35.94503289,-84.38856432,500,ac,default,default,6ALPHA_GA_361502-8ANDERSON_TN_360120
16,6ALPHA GA_361502,8BENTON MS_360612,34.813027,-84.853226,35.17466126,-89.74553609,500,ac,default,default,6ALPHA_GA_361502-8BENTON_MS_360612
17,6ALPHA GA_361502,8BHAM STEEL_360075,34.813027,-84.853226,34.99627529,-90.0485284,500,ac,default,default,6ALPHA_GA_361502-8BHAM_STEEL_360075
18,6ALPHA GA_361502,8BR FERRY NP_360052,34.813027,-84.853226,34.70520875,-87.11705751,500,ac,default,default,6ALPHA_GA_361502-8BR_FERRY_NP_360052
19,6ALPHA GA_361502,8BRADLEY TN_360662,34.813027,-84.853226,35.0367008,-84.963798,500,ac,default,default,6ALPHA_GA_361502-8BRADLEY_TN_360662
20,6ALPHA GA_361502,8BULL RUN FP_360093,34.813027,-84.853226,36.01895969,-84.15785445,500,ac,default,default,6ALPHA_GA_361502-8BULL_RUN_FP_360093
21,6ALPHA GA_361502,8CHOCTAW MS_360654,34.813027,-84.853226,33.2984397,-89.4127739,500,ac,default,default,6ALPHA_GA_361502-8CHOCTAW_MS_360654
22,6ALPHA GA_361502,8CLAY_360688,34.813027,-84.853226,33.47863869,-88.74043971,500,ac,default,default,6ALPHA_GA_361502-8CLAY_360688
23,6ALPHA GA_361502,8COGEN CALED_360606,34.813027,-84.853226,33.64779158,-88.31593565,500,ac,default,default,6ALPHA_GA_361502-8COGEN_CALED_360606
24,6ALPHA GA_361502,8CUMBERLAND_360040,34.813027,-84.853226,36.3921331,-87.65747953,500,ac,default,default,6ALPHA_GA_361502-8CUMBERLAND_360040
25,6ALPHA GA_361502,8DAVIDSON TN_360048,34.813027,-84.853226,36.06703747,-86.9841046,500,ac,default,default,6ALPHA_GA_361502-8DAVIDSON_TN_360048
26,6ALPHA GA_361502,8E POINT AL_360058,34.813027,-84.853226,34.19181783,-86.74805975,500,ac,default,default,6ALPHA_GA_361502-8E_POINT_AL_360058
27,6ALPHA GA_361502,8FRANKLIN TN_360069,34.813027,-84.853226,35.33506701,-86.11727644,500,ac,default,default,6ALPHA_GA_361502-8FRANKLIN_TN_360069
28,6ALPHA GA_361502,8GLEASON CT_360582,34.813027,-84.853226,36.24522988,-88.6114255,500,ac,default,default,6ALPHA_GA_361502-8GLEASON_CT_360582
29,6ALPHA GA_361502,8HAYWOOD TN_360542,34.813027,-84.853226,35.54308246,-89.19654872,500,ac,default,default,6ALPHA_GA_361502-8HAYWOOD_TN_360542
30,6ALPHA GA_361502,8HIWASSEE TN_360110,34.813027,-84.853226,35.60032498,-84.78911434,500,ac,default,default,6ALPHA_GA_361502-8HIWASSEE_TN_360110
31,6ALPHA GA_361502,8JACKSON TN_360019,34.813027,-84.853226,35.70901203,-88.79407261,500,ac,default,default,6ALPHA_GA_361502-8JACKSON_TN_360019
32,6ALPHA GA_361502,8JVILLE FP_360037,34.813027,-84.853226,36.02382902,-87.98154082,500,ac,default,default,6ALPHA_GA_361502-8JVILLE_FP_360037
33,6ALPHA GA_361502,8LAG CRK CC_360615,34.813027,-84.853226,35.65702785,-89.39460044,500,ac,default,default,6ALPHA_GA_361502-8LAG_CRK_CC_360615
34,6ALPHA GA_361502,8LAG CRK CT_360568,34.813027,-84.853226,36.27534882,-88.83423675,500,ac,default,default,6ALPHA_GA_361502-8LAG_CRK_CT_360568
35,6ALPHA GA_361502,8LIMESTONE_360088,34.813027,-84.853226,34.71890958,-86.84630969,500,ac,default,default,6ALPHA_GA_361502-8LIMESTONE_360088
36,6ALPHA GA_361502,8MADISON AL_360060,34.813027,-84.853226,34.79577878,-86.52158584,500,ac,default,default,6ALPHA_GA_361502-8MADISON_AL_360060
37,6ALPHA GA_361502,8MAGNOL CC1_360613,34.813027,-84.853226,34.8287922,-89.20041124,500,ac,default,default,6ALPHA_GA_361502-8MAGNOL_CC1_360613
38,6ALPHA GA_361502,8MARSHALL KY_360015,34.813027,-84.853226,37.02455006,-88.39384277,500,ac,default,default,6ALPHA_GA_361502-8MARSHALL_KY_360015
39,6ALPHA GA_361502,8MAURY TN_360050,34.813027,-84.853226,35.672863,-87.01861625,500,ac,default,default,6ALPHA_GA_361502-8MAURY_TN_360050
