start_BusName,end_BusName,start_lat,start_lon,end_lat,end_lon,length_km,voltage,cost_before_penalty,cost_after_penalty,added_cost,pct_increase
6CENTER PNT_360533,6COUNTY LINE_360013,34.6665318,-84.97089121,34.74311084,-85.00751569,82.891,230,107809175.1072714,120152360.35915929,12343185.25188789,11.449
6ALPHA GA_361502,6COUNTY LINE_360013,34.813027,-84.853226,34.74311084,-85.00751569,62.794,230,76840465.87495142,86801271.28619105,9960805.411239626,12.963
6CLOUDLANDGA_361633,6COUNTY LINE_360013,34.81849122,-85.5353055,34.74311084,-85.00751569,78.18,230,100032820.2484853,108517630.94753079,8484810.699045489,8.482
6BATTLFLD GA_361530,6COUNTY LINE_360013,34.9555953,-85.26465286,34.74311084,-85.00751569,116.339,230,150725890.23314884,166538317.9562567,15812427.723107858,10.491
6CONCORD TN_361509,6COUNTY LINE_360013,34.99679719,-85.1610968,34.74311084,-85.00751569,43.874,230,55105524.14113958,61110279.232485585,6004755.091346,10.897
6CENTER PNT_360533,6WID CRK FP_360068,34.6665318,-84.97089121,34.88515896,-85.75604163,137.354,230,167716362.66795582,184701431.91599977,16985069.248043958,10.127
6LOOPERS FRM_360602,6WID CRK FP_360068,34.708916,-84.922795,34.88515896,-85.75604163,144.106,230,176751780.05019403,194640758.6697547,17888978.619560696,10.121
6COUNTY LINE_360013,6WID CRK FP_360068,34.74311084,-85.00751569,34.88515896,-85.75604163,107.081,230,132582631.39150919,142991546.41232356,10408915.020814383,7.851
6KENSNGTN GA_361503,6WID CRK FP_360068,34.81265905,-85.32344844,34.88515896,-85.75604163,61.395,230,77432746.12729567,80874223.08591685,3441476.9586211755,4.444
6ALPHA GA_361502,6WID CRK FP_360068,34.813027,-84.853226,34.88515896,-85.75604163,156.019,230,189598158.65589795,207011839.98132113,17413681.325423185,9.185
6CLOUDLANDGA_361633,6WID CRK FP_360068,34.81849122,-85.5353055,34.88515896,-85.75604163,38.583,230,47727409.91487699,50264533.89967606,2537123.9847990735,5.316
6ROCK SPG GA_361500,6WID CRK FP_360068,34.83897801,-85.28020801,34.88515896,-85.75604163,65.284,230,81814747.52888122,85777754.80126128,3963007.2723800596,4.844
6BATTLFLD GA_361530,6WID CRK FP_360068,34.9555953,-85.26465286,34.88515896,-85.75604163,54.82,230,71442468.10488304,78141793.66548234,6699325.560599293,9.377
6S HAVEN CC_360594,6WID CRK FP_360068,34.99627529,-90.0485284,34.88515896,-85.75604163,469.704,230,553842080.5704821,744307735.8728725,190465655.30239037,34.39
6CONCORD TN_361509,6WID CRK FP_360068,34.99679719,-85.1610968,34.88515896,-85.75604163,137.099,230,167863216.92208612,181451410.1682189,13588193.246132776,8.095
6CENTER PNT_360533,6WRINGOLD GA_361504,34.6665318,-84.97089121,34.89324284,-85.13750475,73.421,230,89299828.2406854,100482591.45173039,11182763.211044976,12.523
6LOOPERS FRM_360602,6WRINGOLD GA_361504,34.708916,-84.922795,34.89324284,-85.13750475,65.634,230,79235436.08145753,89425967.60134535,10190531.519887818,12.861
6COUNTY LINE_360013,6WRINGOLD GA_361504,34.74311084,-85.00751569,34.89324284,-85.13750475,24.403,230,30745062.07572098,33819568.93091009,3074506.8551891088,10.0
6KENSNGTN GA_361503,6WRINGOLD GA_361504,34.81265905,-85.32344844,34.89324284,-85.13750475,69.399,230,85671506.97401667,92073595.29161614,6402088.317599479,7.473
6ALPHA GA_361502,6WRINGOLD GA_361504,34.813027,-84.853226,34.89324284,-85.13750475,46.129,230,55750650.97679189,63614756.84868394,7864105.871892052,14.106
6CLOUDLANDGA_361633,6WRINGOLD GA_361504,34.81849122,-85.5353055,34.89324284,-85.13750475,86.486,230,108001204.65547043,116089226.66219032,8088022.006719882,7.489
6ROCK SPG GA_361500,6WRINGOLD GA_361504,34.83897801,-85.28020801,34.89324284,-85.13750475,73.152,230,89510280.08249113,96780440.51495901,7270160.432467873,8.122
6WID CRK FP_360068,6WRINGOLD GA_361504,34.88515896,-85.75604163,34.89324284,-85.13750475,115.387,230,140551015.79849434,150577036.8777097,10026021.079215359,7.133
6BATTLFLD GA_361530,6WRINGOLD GA_361504,34.9555953,-85.26465286,34.89324284,-85.13750475,124.645,230,158694274.64013398,173999129.60276738,15304854.962633397,9.644
6S HAVEN CC_360594,6WRINGOLD GA_361504,34.99627529,-90.0485284,34.89324284,-85.13750475,561.422,230,667600693.2616478,840788896.6143646,173188203.35271686,25.942
6CONCORD TN_361509,6WRINGOLD GA_361504,34.99679719,-85.1610968,34.89324284,-85.13750475,27.209,230,34015709.24298006,37908872.60325799,3893163.3602779265,11.445
6ALPHA GA_361502,6CENTER PNT_360533,34.813027,-84.853226,34.6665318,-84.97089121,28.174,230,34648408.31792179,38113250.18602984,3464841.8681080495,10.0
6BATTLFLD GA_361530,6CENTER PNT_360533,34.9555953,-85.26465286,34.6665318,-84.97089121,146.849,230,190304938.48239684,212083074.15272915,21778135.670332313,11.444
6CENTER PNT_360533,6KENSNGTN GA_361503,34.6665318,-84.97089121,34.81265905,-85.32344844,91.603,230,117282170.81627953,130043267.26588628,12761096.449606745,10.881
6COUNTY LINE_360013,6KENSNGTN GA_361503,34.74311084,-85.00751569,34.81265905,-85.32344844,61.093,230,77703122.56703153,84499460.8152664,6796338.248234871,8.747
6ALPHA GA_361502,6KENSNGTN GA_361503,34.813027,-84.853226,34.81265905,-85.32344844,110.032,230,134718649.8314203,148497270.34852374,13778620.517103435,10.228
6CLOUDLANDGA_361633,6KENSNGTN GA_361503,34.81849122,-85.5353055,34.81265905,-85.32344844,28.192,230,36072236.57035432,37225683.03322228,1153446.4628679613,3.198
6BATTLFLD GA_361530,6KENSNGTN GA_361503,34.9555953,-85.26465286,34.81265905,-85.32344844,66.352,230,86765306.55501786,95250350.06693344,8485043.511915581,9.779
6CONCORD TN_361509,6KENSNGTN GA_361503,34.99679719,-85.1610968,34.81265905,-85.32344844,91.112,230,112983708.09760846,122933532.30483171,9949824.207223257,8.806
6CENTER PNT_360533,6YOUNG GA_361454,34.6665318,-84.97089121,34.75072952,-85.27349349,85.98,230,109928928.7963007,122499084.65733646,12570155.86103577,11.435
6LOOPERS FRM_360602,6YOUNG GA_361454,34.708916,-84.922795,34.75072952,-85.27349349,92.731,230,118964346.17853892,132443176.37745535,13478830.198916435,11.33
6COUNTY LINE_360013,6YOUNG GA_361454,34.74311084,-85.00751569,34.75072952,-85.27349349,55.471,230,70349880.5470527,76916962.02952442,6567081.482471723,9.335
6KENSNGTN GA_361503,6YOUNG GA_361454,34.81265905,-85.32344844,34.75072952,-85.27349349,8.921,230,10776981.49344478,11317843.303653173,540861.8102083942,5.019
6ALPHA GA_361502,6YOUNG GA_361454,34.813027,-84.853226,34.75072952,-85.27349349,104.409,230,127365407.81144145,140939493.12898296,13574085.317541515,10.658
