start_BusName,end_BusName,start_lat,start_lon,end_lat,end_lon,length_km,voltage,cost_before_penalty,cost_after_penalty,added_cost,pct_increase
6CENTER PNT_360533,6COUNTY LINE_360013,34.6665318,-84.97089121,34.74311084,-85.00751569,82.891,230,107809175.1072714,128074462.88580778,20265287.778536383,18.797
6ALPHA GA_361502,6COUNTY LINE_360013,34.813027,-84.853226,34.74311084,-85.00751569,62.794,230,76840465.87495142,88876741.90460463,12036276.02965321,15.664
6CLOUDLANDGA_361633,6COUNTY LINE_360013,34.81849122,-85.5353055,34.74311084,-85.00751569,78.18,230,100032820.2484853,113528680.99762467,13495860.74913937,13.491
6BATTLFLD GA_361530,6COUNTY LINE_360013,34.9555953,-85.26465286,34.74311084,-85.00751569,116.339,230,150725890.23314884,172171198.7987367,21445308.56558785,14.228
6CONCORD TN_361509,6COUNTY LINE_360013,34.99679719,-85.1610968,34.74311084,-85.00751569,43.874,230,55105524.14113958,60637385.141180895,5531861.0000413135,10.039
6CENTER PNT_360533,6WID CRK FP_360068,34.6665318,-84.97089121,34.88515896,-85.75604163,137.354,230,167716362.66795582,190536212.29604787,22819849.628092036,13.606
6LOOPERS FRM_360602,6WID CRK FP_360068,34.708916,-84.922795,34.88515896,-85.75604163,144.106,230,176751780.05019403,200198221.880211,23446441.830016967,13.265
6COUNTY LINE_360013,6WID CRK FP_360068,34.74311084,-85.00751569,34.88515896,-85.75604163,107.081,230,132582631.39150919,147609318.1126083,15026686.721099127,11.334
6KENSNGTN GA_361503,6WID CRK FP_360068,34.81265905,-85.32344844,34.88515896,-85.75604163,61.395,230,77432746.12729567,84847131.05674018,7414384.929444508,9.575
6ALPHA GA_361502,6WID CRK FP_360068,34.813027,-84.853226,34.88515896,-85.75604163,156.019,230,189598158.65589795,214459816.54497835,24861657.889080394,13.113
6CLOUDLANDGA_361633,6WID CRK FP_360068,34.81849122,-85.5353055,34.88515896,-85.75604163,38.583,230,47727409.91487699,52287420.345175885,4560010.430298892,9.554
6ROCK SPG GA_361500,6WID CRK FP_360068,34.83897801,-85.28020801,34.88515896,-85.75604163,65.284,230,81814747.52888122,90198937.77438778,8384190.245506551,10.248
6BATTLFLD GA_361530,6WID CRK FP_360068,34.9555953,-85.26465286,34.88515896,-85.75604163,54.82,230,71442468.10488304,80946702.99225509,9504234.887372045,13.303
6S HAVEN CC_360594,6WID CRK FP_360068,34.99627529,-90.0485284,34.88515896,-85.75604163,469.704,230,553842080.5704821,728321818.8480769,174479738.2775948,31.504
6CONCORD TN_361509,6WID CRK FP_360068,34.99679719,-85.1610968,34.88515896,-85.75604163,137.099,230,167863216.92208612,186389131.83079126,18525914.908705145,11.036
6CENTER PNT_360533,6WRINGOLD GA_361504,34.6665318,-84.97089121,34.89324284,-85.13750475,73.421,230,89299828.2406854,103023433.25043973,13723605.009754324,15.368
6LOOPERS FRM_360602,6WRINGOLD GA_361504,34.708916,-84.922795,34.89324284,-85.13750475,65.634,230,79235436.08145753,91195556.80564821,11960120.72419069,15.094
6COUNTY LINE_360013,6WRINGOLD GA_361504,34.74311084,-85.00751569,34.89324284,-85.13750475,24.403,230,30745062.07572098,34575010.6828716,3829948.60715062,12.457
6KENSNGTN GA_361503,6WRINGOLD GA_361504,34.81265905,-85.32344844,34.89324284,-85.13750475,69.399,230,85671506.97401667,95490381.4154508,9818874.441434134,11.461
6ALPHA GA_361502,6WRINGOLD GA_361504,34.813027,-84.853226,34.89324284,-85.13750475,46.129,230,55750650.97679189,65899416.20647364,10148765.229681754,18.204
