start_BusName,end_BusName,length_km,voltage,cost,rid,n_cells,cells_outside_region,orig_cost_sum,adj_cost_sum,pct_increase,frac_none,frac_low,frac_medium,frac_high,added_cost,added_cost_pipeline_basis,adj_cost_pipeline_basis
6CENTER PNT_360533,6COUNTY LINE_360013,82.89083112443906,230,107809175.1072714,6CENTER_PNT_360533-6COUNTY_LINE_360013,811,0,191748288.15625,227791920.21875,18.79736836718413,0.055487053020961775,0.4907521578298397,0.4401972872996301,0.013563501849568433,36043632.0625,20265287.778536383,128074462.88580778
6ALPHA GA_361502,6COUNTY LINE_360013,62.79369475732421,230,76840465.87495142,6ALPHA_GA_361502-6COUNTY_LINE_360013,579,0,130458622.421875,150893636.34375,15.663981071172572,0.012089810017271158,0.696027633851468,0.2918825561312608,0.0,20435013.921875,12036276.02965321,88876741.90460463
6CLOUDLANDGA_361633,6COUNTY LINE_360013,78.17994800689338,230,100032820.2484853,6CLOUDLANDGA_361633-6COUNTY_LINE_360013,757,0,176764596.25,200612673.015625,13.491432827361205,0.083223249669749,0.702774108322325,0.21400264200792601,0.0,23848076.765625,13495860.74913937,113528680.99762467
6BATTLFLD GA_361530,6COUNTY LINE_360013,116.33903889279436,230,150725890.23314884,6BATTLFLD_GA_361530-6COUNTY_LINE_360013,1123,0,264804261.859375,302480663.015625,14.228019176012419,0.1834372217275156,0.5832591273374889,0.16295636687444345,0.07034728406055209,37676401.15625,21445308.56558785,172171198.7987367
6CONCORD TN_361509,6COUNTY LINE_360013,43.87386360737625,230,55105524.14113958,6CONCORD_TN_361509-6COUNTY_LINE_360013,416,0,95703870.796875,105311265.3125,10.038668692947695,0.18269230769230768,0.7211538461538461,0.09615384615384616,0.0,9607394.515625,5531861.0000413135,60637385.141180895
6CENTER PNT_360533,6WID CRK FP_360068,137.35445445501392,230,167716362.66795582,6CENTER_PNT_360533-6WID_CRK_FP_360068,1301,0,292683922.625,332507127.6875,13.606215437232372,0.23981552651806304,0.48962336664104533,0.24135280553420446,0.029208301306687164,39823205.0625,22819849.628092036,190536212.29604787
6LOOPERS FRM_360602,6WID CRK FP_360068,144.1055518528077,230,176751780.05019403,6LOOPERS_FRM_360602-6WID_CRK_FP_360068,1364,0,307921697.546875,348768065.078125,13.265180030073044,0.2565982404692082,0.47873900293255134,0.2368035190615836,0.02785923753665689,40846367.53125,23446441.830016967,200198221.880211
6COUNTY LINE_360013,6WID CRK FP_360068,107.08073370113638,230,132582631.39150919,6COUNTY_LINE_360013-6WID_CRK_FP_360068,1028,0,233504125.671875,259969080.453125,11.333827488101477,0.2801556420233463,0.5145914396887159,0.20525291828793774,0.0,26464954.78125,15026686.721099127,147609318.1126083
6KENSNGTN GA_361503,6WID CRK FP_360068,61.39517528541813,230,77432746.12729567,6KENSNGTN_GA_361503-6WID_CRK_FP_360068,585,0,135243196.625,148193081.125,9.575257627122792,0.40512820512820513,0.4205128205128205,0.17435897435897435,0.0,12949884.5,7414384.929444508,84847131.05674018
6ALPHA GA_361502,6WID CRK FP_360068,156.01908432299044,230,189598158.65589795,6ALPHA_GA_361502-6WID_CRK_FP_360068,1503,0,336719217.0625,380872588.796875,13.112816108199588,0.21423819028609448,0.5209580838323353,0.2648037258815702,0.0,44153371.734375,24861657.889080394,214459816.54497835
6CLOUDLANDGA_361633,6WID CRK FP_360068,38.58305191657993,230,47727409.91487699,6CLOUDLANDGA_361633-6WID_CRK_FP_360068,351,0,79830295.234375,87457505.25,9.554280105356195,0.396011396011396,0.4358974358974359,0.16809116809116809,0.0,7627210.015625,4560010.430298892,52287420.345175885
6ROCK SPG GA_361500,6WID CRK FP_360068,65.28436359462181,230,81814747.52888122,6ROCK_SPG_GA_361500-6WID_CRK_FP_360068,622,0,143083022.09375,157745846.515625,10.247773780083925,0.37138263665594856,0.43569131832797425,0.19292604501607716,0.0,14662824.421875,8384190.245506551,90198937.77438778
6BATTLFLD GA_361530,6WID CRK FP_360068,54.819876580144005,230,71442468.10488304,6BATTLFLD_GA_361530-6WID_CRK_FP_360068,502,0,119091540.15625,134934693.40625,13.303340631260241,0.40836653386454186,0.35258964143426297,0.10956175298804781,0.1294820717131474,15843153.25,9504234.887372045,80946702.99225509
6S HAVEN CC_360594,6WID CRK FP_360068,469.7035582116471,230,553842080.5704821,6S_HAVEN_CC_360594-6WID_CRK_FP_360068,4645,0,1017525166.203125,1338081387.765625,31.50351777132443,0.077502691065662,0.22734122712594187,0.2643702906350915,0.4307857911733046,320556221.5625,174479738.2775948,728321818.8480769
6CONCORD TN_361509,6WID CRK FP_360068,137.09925317304248,230,167863216.92208612,6CONCORD_TN_361509-6WID_CRK_FP_360068,1340,0,301964465.4375,335290217.765625,11.036315905529182,0.2917910447761194,0.5074626865671642,0.2007462686567164,0.0,33325752.328125,18525914.908705145,186389131.83079126
6CENTER PNT_360533,6WRINGOLD GA_361504,73.42118825818588,230,89299828.2406854,6CENTER_PNT_360533-6WRINGOLD_GA_361504,683,0,153225733.234375,176773476.625,15.368008293101942,0.08052708638360176,0.6090775988286969,0.3103953147877013,0.0,23547743.390625,13723605.009754324,103023433.25043973
6LOOPERS FRM_360602,6WRINGOLD GA_361504,65.63376618407356,230,79235436.08145753,6LOOPERS_FRM_360602-6WRINGOLD_GA_361504,606,0,135104593.6875,155497833.515625,15.094408910547497,0.09405940594059406,0.6023102310231023,0.30363036303630364,0.0,20393239.828125,11960120.72419069,91195556.80564821
6COUNTY LINE_360013,6WRINGOLD GA_361504,24.403435046880073,230,30745062.07572098,6COUNTY_LINE_360013-6WRINGOLD_GA_361504,227,0,52369912.875,58893694.625,12.457117821775633,0.1894273127753304,0.5947136563876652,0.21585903083700442,0.0,6523781.75,3829948.60715062,34575010.6828716
6KENSNGTN GA_361503,6WRINGOLD GA_361504,69.39923373939973,230,85671506.97401667,6KENSNGTN_GA_361503-6WRINGOLD_GA_361504,705,0,160111109.328125,178461561.359375,11.461073568382663,0.11631205673758865,0.7574468085106383,0.12624113475177304,0.0,18350452.03125,9818874.441434134,95490381.4154508
6ALPHA GA_361502,6WRINGOLD GA_361504,46.12870775560087,230,55750650.97679189,6ALPHA_GA_361502-6WRINGOLD_GA_361504,422,0,94144759.125,111282730.453125,18.203850631101194,0.045023696682464455,0.518957345971564,0.43601895734597157,0.0,17137971.328125,10148765.229681754,65899416.20647364
6CLOUDLANDGA_361633,6WRINGOLD GA_361504,86.48598697621443,230,108001204.65547043,6CLOUDLANDGA_361633-6WRINGOLD_GA_361504,870,0,199323401.75,221747055.96875,11.249885373155898,0.15862068965517243,0.7034482758620689,0.13793103448275862,0.0,22423654.21875,12150011.725367935,120151216.38083836
6ROCK SPG GA_361500,6WRINGOLD GA_361504,73.15209737228489,230,89510280.08249113,6ROCK_SPG_GA_361500-6WRINGOLD_GA_361504,738,0,166332664.96875,185217406.140625,11.353597428035567,0.1043360433604336,0.7750677506775068,0.12059620596205962,0.0,18884741.171875,10162636.857273145,99672916.93976428
6WID CRK FP_360068,6WRINGOLD GA_361504,115.38677267045745,230,140551015.79849434,6WID_CRK_FP_360068-6WRINGOLD_GA_361504,1141,0,256062931.171875,281103463.40625,9.779053969185124,0.31814198071866784,0.5337423312883436,0.1481156879929886,0.0,25040532.234375,13744559.68917267,154295575.48766702
6BATTLFLD GA_361530,6WRINGOLD GA_361504,124.64507786211541,230,158694274.64013398,6BATTLFLD_GA_361530-6WRINGOLD_GA_361504,1236,0,287363067.359375,323615045.96875,12.615392417160699,0.2273462783171521,0.5946601941747572,0.11407766990291263,0.063915857605178,36251978.609375,20019905.489419635,178714180.12955362
6S HAVEN CC_360594,6WRINGOLD GA_361504,561.4216945532531,230,667600693.2616478,6S_HAVEN_CC_360594-6WRINGOLD_GA_361504,5609,0,1236427341.65625,1547111183.859375,25.12754544775353,0.17186664289534676,0.2759850240684614,0.2599393831342485,0.2922089499019433,310683842.203125,167751667.6088382,835352360.870486
6CONCORD TN_361509,6WRINGOLD GA_361504,27.20887660565291,230,34015709.24298006,6CONCORD_TN_361509-6WRINGOLD_GA_361504,259,0,59390007.5,65700359.421875,10.625275509310207,0.33976833976833976,0.44787644787644787,0.21235521235521235,0.0,6310351.921875,3614262.823512529,37629972.066492595
6ALPHA GA_361502,6CENTER PNT_360533,28.174389591175114,230,34648408.31792179,6ALPHA_GA_361502-6CENTER_PNT_360533,266,0,60233829.015625,66732880.328125,10.7897030932802,0.13909774436090225,0.7556390977443609,0.10526315789473684,0.0,6499051.3125,3738460.3840511614,38386868.70197295
6BATTLFLD GA_361530,6CENTER PNT_360533,146.84858433574487,230,190304938.48239684,6BATTLFLD_GA_361530-6CENTER_PNT_360533,1433,0,337979641.640625,396916227.421875,17.437910015869384,0.17515701325889743,0.42498255408234475,0.33705512909979063,0.0628053035589672,58936585.78125,33185203.92831595,223490142.41071278
6CENTER PNT_360533,6KENSNGTN GA_361503,91.60274021302916,230,117282170.81627953,6CENTER_PNT_360533-6KENSNGTN_GA_361503,902,0,210727683.609375,251762742.8125,19.4730272265468,0.057649667405764965,0.4523281596452328,0.4778270509977827,0.012195121951219513,41035059.203125,22838389.05493924,140120559.87121877
6COUNTY LINE_360013,6KENSNGTN GA_361503,61.093194770078654,230,77703122.56703153,6COUNTY_LINE_360013-6KENSNGTN_GA_361503,592,0,137552303.828125,157327178.40625,14.37625835975398,0.011824324324324325,0.7668918918918919,0.22128378378378377,0.0,19774874.578125,11170801.653832752,88873924.22086428
6ALPHA GA_361502,6KENSNGTN GA_361503,110.03154539193271,230,134718649.8314203,6ALPHA_GA_361502-6KENSNGTN_GA_361503,1067,0,240767395.21875,278230686.75,15.559952167614966,0.038425492033739454,0.6635426429240863,0.2980318650421743,0.0,37463291.53125,20962157.4746257,155680807.306046
6CLOUDLANDGA_361633,6KENSNGTN GA_361503,28.192480502585013,230,36072236.57035432,6CLOUDLANDGA_361633-6KENSNGTN_GA_361503,272,0,63468857.734375,67357067.203125,6.12616897096625,0.46691176470588236,0.49264705882352944,0.04044117647058824,0.0,3888209.46875,2209846.163906587,38282082.73426091
