start_BusName,end_BusName,start_lat,start_lon,end_lat,end_lon,length_km,voltage,cost_before_penalty,cost_after_penalty,added_cost,pct_increase
6CENTER PNT_360533,6COUNTY LINE_360013,34.6665318,-84.97089121,34.74311084,-85.00751569,82.891,230,107809175.1072714,107933139.45893905,123964.35166764603,0.115
6ALPHA GA_361502,6COUNTY LINE_360013,34.813027,-84.853226,34.74311084,-85.00751569,62.794,230,76840465.87495142,77215238.32654473,374772.45159330644,0.488
6CLOUDLANDGA_361633,6COUNTY LINE_360013,34.81849122,-85.5353055,34.74311084,-85.00751569,78.18,230,100032820.2484853,100032820.2484853,0.0,0.0
6BATTLFLD GA_361530,6COUNTY LINE_360013,34.9555953,-85.26465286,34.74311084,-85.00751569,116.339,230,150725890.23314884,152740129.27274302,2014239.039594168,1.336
6CONCORD TN_361509,6COUNTY LINE_360013,34.99679719,-85.1610968,34.74311084,-85.00751569,43.874,230,55105524.14113958,55105524.14113958,0.0,0.0
6CENTER PNT_360533,6WID CRK FP_360068,34.6665318,-84.97089121,34.88515896,-85.75604163,137.354,230,167716362.66795582,168206939.28448626,490576.61653044575,0.293
6LOOPERS FRM_360602,6WID CRK FP_360068,34.708916,-84.922795,34.88515896,-85.75604163,144.106,230,176751780.05019403,177243201.1271098,491421.07691575703,0.278
6COUNTY LINE_360013,6WID CRK FP_360068,34.74311084,-85.00751569,34.88515896,-85.75604163,107.081,230,132582631.39150919,132582631.39150919,0.0,0.0
6KENSNGTN GA_361503,6WID CRK FP_360068,34.81265905,-85.32344844,34.88515896,-85.75604163,61.395,230,77432746.12729567,77432746.12729567,0.0,0.0
6ALPHA GA_361502,6WID CRK FP_360068,34.813027,-84.853226,34.88515896,-85.75604163,156.019,230,189598158.65589795,189956433.79311347,358275.13721553184,0.189
6CLOUDLANDGA_361633,6WID CRK FP_360068,34.81849122,-85.5353055,34.88515896,-85.75604163,38.583,230,47727409.91487699,47727409.91487699,0.0,0.0
6ROCK SPG GA_361500,6WID CRK FP_360068,34.83897801,-85.28020801,34.88515896,-85.75604163,65.284,230,81814747.52888122,81814747.52888122,0.0,0.0
6BATTLFLD GA_361530,6WID CRK FP_360068,34.9555953,-85.26465286,34.88515896,-85.75604163,54.82,230,71442468.10488304,71844704.0969435,402235.99206044734,0.563
6S HAVEN CC_360594,6WID CRK FP_360068,34.99627529,-90.0485284,34.88515896,-85.75604163,469.704,230,553842080.5704821,668378946.0223371,114536865.45185496,20.68
6CONCORD TN_361509,6WID CRK FP_360068,34.99679719,-85.1610968,34.88515896,-85.75604163,137.099,230,167863216.92208612,167863216.92208612,0.0,0.0
6CENTER PNT_360533,6WRINGOLD GA_361504,34.6665318,-84.97089121,34.89324284,-85.13750475,73.421,230,89299828.2406854,89670653.5554162,370825.3147307996,0.415
6LOOPERS FRM_360602,6WRINGOLD GA_361504,34.708916,-84.922795,34.89324284,-85.13750475,65.634,230,79235436.08145753,79608600.129362,373164.0479044738,0.471
6COUNTY LINE_360013,6WRINGOLD GA_361504,34.74311084,-85.00751569,34.89324284,-85.13750475,24.403,230,30745062.07572098,30745062.07572098,0.0,0.0
6KENSNGTN GA_361503,6WRINGOLD GA_361504,34.81265905,-85.32344844,34.89324284,-85.13750475,69.399,230,85671506.97401667,85671506.97401667,0.0,0.0
6ALPHA GA_361502,6WRINGOLD GA_361504,34.813027,-84.853226,34.89324284,-85.13750475,46.129,230,55750650.97679189,56127445.214830324,376794.2380384366,0.676
6CLOUDLANDGA_361633,6WRINGOLD GA_361504,34.81849122,-85.5353055,34.89324284,-85.13750475,86.486,230,108001204.65547043,108001204.65547043,0.0,0.0
6ROCK SPG GA_361500,6WRINGOLD GA_361504,34.83897801,-85.28020801,34.89324284,-85.13750475,73.152,230,89510280.08249113,89510280.08249113,0.0,0.0
6WID CRK FP_360068,6WRINGOLD GA_361504,34.88515896,-85.75604163,34.89324284,-85.13750475,115.387,230,140551015.79849434,140551015.79849434,0.0,0.0
6BATTLFLD GA_361530,6WRINGOLD GA_361504,34.9555953,-85.26465286,34.89324284,-85.13750475,124.645,230,158694274.64013398,160648517.03207457,1954242.391940599,1.231
6S HAVEN CC_360594,6WRINGOLD GA_361504,34.99627529,-90.0485284,34.89324284,-85.13750475,561.422,230,667600693.2616478,768483437.5234295,100882744.26178174,15.111
6CONCORD TN_361509,6WRINGOLD GA_361504,34.99679719,-85.1610968,34.89324284,-85.13750475,27.209,230,34015709.24298006,34015709.24298006,0.0,0.0
6ALPHA GA_361502,6CENTER PNT_360533,34.813027,-84.853226,34.6665318,-84.97089121,28.174,230,34648408.31792179,34648408.31792179,0.0,0.0
6BATTLFLD GA_361530,6CENTER PNT_360533,34.9555953,-85.26465286,34.6665318,-84.97089121,146.849,230,190304938.48239684,192421627.0137493,2116688.53135246,1.112
6CENTER PNT_360533,6KENSNGTN GA_361503,34.6665318,-84.97089121,34.81265905,-85.32344844,91.603,230,117282170.81627953,117404881.67304686,122710.85676733324,0.105
6COUNTY LINE_360013,6KENSNGTN GA_361503,34.74311084,-85.00751569,34.81265905,-85.32344844,61.093,230,77703122.56703153,77703122.56703153,0.0,0.0
6ALPHA GA_361502,6KENSNGTN GA_361503,34.813027,-84.853226,34.81265905,-85.32344844,110.032,230,134718649.8314203,135074674.84036112,356025.008940821,0.264
6CLOUDLANDGA_361633,6KENSNGTN GA_361503,34.81849122,-85.5353055,34.81265905,-85.32344844,28.192,230,36072236.57035432,36072236.57035432,0.0,0.0
6BATTLFLD GA_361530,6KENSNGTN GA_361503,34.9555953,-85.26465286,34.81265905,-85.32344844,66.352,230,86765306.55501786,88791855.80291118,2026549.247893314,2.336
6CONCORD TN_361509,6KENSNGTN GA_361503,34.99679719,-85.1610968,34.81265905,-85.32344844,91.112,230,112983708.09760846,112983708.09760846,0.0,0.0
6CENTER PNT_360533,6YOUNG GA_361454,34.6665318,-84.97089121,34.75072952,-85.27349349,85.98,230,109928928.7963007,110054082.98345032,125154.18714962824,0.114
6LOOPERS FRM_360602,6YOUNG GA_361454,34.708916,-84.922795,34.75072952,-85.27349349,92.731,230,118964346.17853892,119089907.613455,125561.43491607797,0.106
6COUNTY LINE_360013,6YOUNG GA_361454,34.74311084,-85.00751569,34.75072952,-85.27349349,55.471,230,70349880.5470527,70349880.5470527,0.0,0.0
6KENSNGTN GA_361503,6YOUNG GA_361454,34.81265905,-85.32344844,34.75072952,-85.27349349,8.921,230,10776981.49344478,10776981.49344478,0.0,0.0
6ALPHA GA_361502,6YOUNG GA_361454,34.813027,-84.853226,34.75072952,-85.27349349,104.409,230,127365407.81144145,127727681.80339903,362273.9919575798,0.284
6CLOUDLANDGA_361633,6YOUNG GA_361454,34.81849122,-85.5353055,34.75072952,-85.27349349,27.897,230,35939130.49763468,35939130.49763468,0.0,0.0
6ROCK SPG GA_361500,6YOUNG GA_361454,34.83897801,-85.28020801,34.75072952,-85.27349349,10.661,230,12728584.828059405,12728584.828059405,0.0,0.0
6WID CRK FP_360068,6YOUNG GA_361454,34.88515896,-85.75604163,34.75072952,-85.27349349,61.047,230,77171201.65887958,77171201.65887958,0.0,0.0
6WRINGOLD GA_361504,6YOUNG GA_361454,34.89324284,-85.13750475,34.75072952,-85.27349349,63.777,230,78318264.95403785,78318264.95403785,0.0,0.0
6BATTLFLD GA_361530,6YOUNG GA_361454,34.9555953,-85.26465286,34.75072952,-85.27349349,66.056,230,86632200.48229823,88635114.74482185,2002914.262523621,2.312
6S HAVEN CC_360594,6YOUNG GA_361454,34.99627529,-90.0485284,34.75072952,-85.27349349,519.271,230,616887067.7062453,718781081.249774,101894013.54352863,16.517
6CONCORD TN_361509,6YOUNG GA_361454,34.99679719,-85.1610968,34.75072952,-85.27349349,85.489,230,105630466.07762961,105630466.07762961,0.0,0.0
6CENTER PNT_360533,6ROCK SPG GA_361500,34.6665318,-84.97089121,34.83897801,-85.28020801,95.356,230,121120943.92475398,121244037.02240886,123093.09765487624,0.102
